INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (2, 1, 0.17, 96084.76, 31747.95, 5139.95);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (4, 3, 0.76, 47234.62, 39943.06, 4389.59);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (6, 5, 0.05, 43490.54, 5522.48, 2317.21);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (8, 7, 0.79, 82056.32, 50405.86, 30566.86);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (10, 9, 0.34, 92653.07, 7197.61, 2079.24);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (12, 11, 0.06, 64752.09, 2007.59, 1611.41);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (14, 13, 0.56, 37791.2, 21549.07, 2803.36);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (16, 15, 0.2, 41003.75, 36886.67, 12593.02);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (18, 17, 0.87, 80838.36, 13453.08, 13069.11);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (20, 19, 0.98, 19439.95, 15995.38, 7409.12);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (22, 21, 0.01, 75090.73, 67083.59, 51197.52);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (24, 23, 0.64, 80155.62, 42354.36, 31043.93);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (26, 25, 0.12, 17145.26, 8337.0, 3505.28);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (28, 27, 0.25, 88842.31, 25997.47, 8837.72);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (30, 29, 0.55, 34652.97, 2531.75, 1160.07);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (32, 31, 0.41, 59573.42, 1959.03, 1205.49);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (34, 33, 0.71, 3092.34, 2495.56, 1348.07);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (36, 35, 0.68, 85112.65, 55176.28, 34145.05);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (38, 37, 0.77, 45365.24, 11127.93, 8079.23);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (40, 39, 0.96, 10145.86, 7891.5, 1727.78);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (42, 41, 0.31, 63808.79, 18410.75, 16377.61);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (44, 43, 0.87, 5688.05, 2931.73, 1769.99);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (46, 45, 0.67, 28307.68, 25835.17, 18122.4);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (48, 47, 0.19, 48331.63, 36969.53, 4463.62);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (50, 49, 0.02, 23167.89, 3341.26, 1296.09);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (52, 51, 0.71, 16492.31, 7613.65, 4218.15);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (54, 53, 0.03, 69597.45, 1860.81, 1475.46);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (56, 55, 0.96, 91515.79, 58888.46, 34840.2);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (58, 57, 0.99, 24458.71, 17459.44, 2813.29);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (60, 59, 0.55, 49575.78, 9061.29, 635.29);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (62, 61, 0.75, 24084.75, 10677.24, 9244.22);
INSERT INTO credit_card (card_id, acct_id, interest_rate, limit, balance, balance_due) VALUES (64, 63, 0.18, 20239.86, 134.01, 56.57);
