INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (1, 0.83, 66859.26, 196.52);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (3, 0.1, 74856.99, 202.93);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (5, 0.99, 98468.27, 436.97);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (7, 0.19, 32208.45, 96.61);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (9, 0.3, 50777.31, 77.62);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (11, 0.23, 67208.75, 174.75);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (13, 0.42, 47226.14, 61.53);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (15, 0.15, 62699.37, 35.69);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (17, 0.33, 6302.95, 29.23);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (19, 0.7, 75358.43, 308.27);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (21, 0.71, 28206.43, 284.92);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (23, 0.43, 79744.39, 206.83);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (25, 0.54, 92011.0, 391.54);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (27, 0.3, 11721.59, 401.63);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (29, 0.61, 95786.08, 97.97);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (31, 0.99, 37174.71, 281.47);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (33, 0.62, 48619.95, 82.37);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (35, 0.13, 85754.59, 443.61);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (37, 0.07, 50235.66, 176.41);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (39, 0.36, 63677.61, 494.63);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (41, 0.64, 28832.71, 350.04);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (43, 0.65, 70424.64, 75.44);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (45, 0.35, 51046.68, 12.41);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (47, 0.79, 2676.75, 481.29);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (49, 0.51, 42321.51, 213.34);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (51, 0.62, 56360.47, 214.19);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (53, 0.15, 33394.73, 1.89);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (55, 0.54, 18966.62, 465.95);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (57, 0.01, 33431.07, 437.64);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (59, 0.15, 98843.89, 173.36);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (61, 0.37, 32671.23, 256.84);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (63, 0.4, 76084.38, 417.29);
INSERT INTO sec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (65, 0.87, 80539.06, 282.51);
