INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (2, 0.01, 12545.37, 440.88);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (4, 0.66, 7240.93, 287.19);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (6, 0.02, 2360.82, 460.82);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (8, 0.49, 89291.69, 414.92);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (10, 0.27, 23312.72, 285.63);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (12, 0.98, 36790.62, 86.14);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (14, 0.56, 13443.82, 455.97);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (16, 0.22, 13514.34, 356.65);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (18, 0.28, 78612.2, 313.19);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (20, 0.17, 73193.19, 88.84);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (22, 0.25, 58466.71, 448.1);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (24, 0.43, 29937.65, 386.21);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (26, 0.81, 51925.92, 372.34);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (28, 0.4, 35791.24, 91.07);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (30, 0.24, 17816.78, 198.14);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (32, 0.18, 97163.03, 217.99);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (34, 0.33, 41052.27, 121.78);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (36, 0.35, 56335.15, 170.5);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (38, 0.2, 75379.85, 114.92);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (40, 0.01, 35752.53, 294.18);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (42, 0.45, 53631.15, 203.0);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (44, 0.2, 1911.49, 10.88);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (46, 0.0, 64548.07, 163.45);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (48, 0.81, 45164.58, 348.08);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (50, 0.6, 87148.05, 17.42);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (52, 0.85, 47130.89, 108.64);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (54, 0.71, 1178.32, 46.36);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (56, 0.88, 78401.62, 108.48);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (58, 0.42, 26285.71, 360.54);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (60, 0.8, 30836.65, 219.66);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (62, 0.27, 68580.64, 385.57);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (64, 0.84, 30692.8, 225.0);
INSERT INTO unsec_loan (loan_id, interest_rate, amount, monthly_payment) VALUES (66, 0.18, 27844.15, 322.19);
