INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (0, 56, '2019-07-01 1:25:01', -27.5);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (1, 21, '2019-05-03 08:16:13', -146.4);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (2, 11, '2019-05-17 17:17:57', -72.92);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (3, 59, '2019-05-09 03:33:46', -388.72);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (4, 26, '2019-08-09 9:40:38', 149.7);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (5, 51, '2019-10-19 19:26:41', 182.04);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (6, 27, '2019-01-01 06:20:40', 179.9);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (7, 37, '2019-09-15 15:57:31', -0.85);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (8, 61, '2019-02-12 12:19:34', -2.12);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (9, 64, '2019-06-27 02:53:16', -257.78);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (10, 62, '2019-04-27 27:04:00', 60.45);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (11, 55, '2019-01-25 02:07:52', 13.69);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (12, 26, '2019-06-23 23:07:26', -177.98);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (13, 29, '2019-03-13 06:20:32', -89.31);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (14, 33, '2019-09-11 11:20:29', -24.09);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (15, 20, '2019-11-29 06:12:32', 64.91);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (16, 47, '2019-10-21 21:15:49', -106.95);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (17, 21, '2019-04-01 05:41:50', -123.95);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (18, 39, '2019-03-26 26:59:41', -30.66);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (19, 48, '2019-10-00 00:41:12', -224.03);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (20, 55, '2019-02-19 03:38:39', -28.36);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (21, 64, '2019-08-27 01:42:17', -46.6);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (22, 26, '2019-01-01 1:33:13', 139.82);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (23, 44, '2019-01-26 26:24:08', -2.0);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (24, 33, '2019-11-05 5:09:39', 6.68);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (25, 52, '2019-05-17 17:26:14', 105.3);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (26, 5, '2019-04-22 22:56:20', -85.56);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (27, 20, '2019-06-20 20:02:40', -77.05);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (28, 58, '2019-05-01 1:17:54', 141.38);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (29, 15, '2019-11-29 29:12:21', -22.36);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (30, 41, '2019-11-01 1:56:56', -195.73);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (31, 60, '2019-04-28 28:57:51', 179.96);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (32, 59, '2019-12-10 08:42:42', 110.99);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (33, 36, '2019-11-19 19:45:27', -65.68);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (34, 50, '2019-10-07 7:13:27', 218.71);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (35, 64, '2019-03-04 4:40:00', -167.1);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (36, 32, '2019-08-00 05:21:13', -176.15);
